Wavelength (nm),Panchromatic,Coastal,Blue,Green,Yellow,Red,Red Edge,NIR1,NIR2
913,2.76E-04,1.11E-05,1.86E-05,6.62E-06,2.84E-06,3.22E-06,1.84E-05,1.69E-03,8.23E-01
914,2.81E-04,1.08E-05,1.84E-05,5.97E-06,2.82E-06,2.70E-06,1.71E-05,1.45E-03,8.14E-01
915,2.88E-04,9.50E-06,1.84E-05,6.22E-06,2.47E-06,3.49E-06,1.57E-05,1.31E-03,8.08E-01
916,2.85E-04,8.18E-06,1.84E-05,6.46E-06,2.13E-06,4.28E-06,1.43E-05,1.17E-03,8.02E-01
917,2.84E-04,7.67E-06,1.76E-05,6.57E-06,2.10E-06,4.09E-06,1.44E-05,1.08E-03,7.97E-01
918,2.82E-04,7.15E-06,1.68E-05,6.67E-06,2.07E-06,3.91E-06,1.46E-05,9.88E-04,7.91E-01
919,2.78E-04,6.64E-06,1.63E-05,6.63E-06,2.05E-06,3.29E-06,1.36E-05,9.53E-04,7.83E-01
920,2.76E-04,6.16E-06,1.58E-05,6.60E-06,2.03E-06,2.68E-06,1.27E-05,9.17E-04,7.74E-01
921,2.75E-04,5.37E-06,1.48E-05,6.13E-06,1.78E-06,2.87E-06,1.16E-05,9.16E-04,7.68E-01
922,2.76E-04,4.61E-06,1.39E-05,5.65E-06,1.53E-06,3.06E-06,1.06E-05,9.14E-04,7.63E-01
923,2.75E-04,4.73E-06,1.46E-05,5.89E-06,1.84E-06,3.10E-06,9.88E-06,8.68E-04,7.58E-01
924,2.74E-04,4.84E-06,1.53E-05,6.14E-06,2.15E-06,3.13E-06,9.14E-06,8.23E-04,7.53E-01
925,2.73E-04,4.04E-06,1.48E-05,6.04E-06,1.78E-06,3.20E-06,8.14E-06,7.98E-04,7.47E-01
926,2.68E-04,3.26E-06,1.44E-05,5.96E-06,1.40E-06,3.27E-06,7.13E-06,7.74E-04,7.40E-01
927,2.61E-04,3.74E-06,1.38E-05,5.60E-06,1.70E-06,2.70E-06,6.52E-06,7.55E-04,7.31E-01
928,2.53E-04,4.20E-06,1.32E-05,5.22E-06,1.98E-06,2.14E-06,5.91E-06,7.36E-04,7.21E-01
929,2.47E-04,3.61E-06,1.31E-05,5.31E-06,1.51E-06,2.59E-06,5.23E-06,7.32E-04,7.15E-01
930,2.42E-04,3.02E-06,1.30E-05,5.40E-06,1.05E-06,3.07E-06,4.54E-06,7.27E-04,7.09E-01
931,2.41E-04,3.28E-06,1.32E-05,5.23E-06,1.26E-06,2.98E-06,4.26E-06,7.66E-04,7.02E-01
932,2.40E-04,3.54E-06,1.35E-05,5.06E-06,1.47E-06,2.91E-06,3.96E-06,8.06E-04,6.95E-01
933,2.38E-04,3.08E-06,1.28E-05,4.78E-06,1.29E-06,2.53E-06,3.86E-06,7.61E-04,6.83E-01
934,2.36E-04,2.63E-06,1.21E-05,4.49E-06,1.10E-06,2.14E-06,3.76E-06,7.16E-04,6.72E-01
935,2.34E-04,2.53E-06,1.18E-05,4.02E-06,1.32E-06,2.14E-06,3.16E-06,7.01E-04,6.62E-01
936,2.29E-04,2.43E-06,1.14E-05,3.53E-06,1.54E-06,2.14E-06,2.56E-06,6.86E-04,6.51E-01
937,2.25E-04,2.81E-06,1.11E-05,3.60E-06,1.39E-06,1.85E-06,2.53E-06,6.66E-04,6.44E-01
938,2.21E-04,3.20E-06,1.08E-05,3.65E-06,1.24E-06,1.56E-06,2.51E-06,6.45E-04,6.37E-01
939,2.17E-04,3.11E-06,1.07E-05,3.58E-06,9.48E-07,1.64E-06,2.27E-06,6.24E-04,6.29E-01
940,2.14E-04,3.01E-06,1.06E-05,3.52E-06,6.52E-07,1.73E-06,2.02E-06,6.03E-04,6.21E-01
941,2.13E-04,3.18E-06,1.03E-05,3.58E-06,6.71E-07,1.66E-06,1.84E-06,6.25E-04,6.11E-01
942,2.15E-04,3.34E-06,1.01E-05,3.61E-06,6.89E-07,1.60E-06,1.67E-06,6.47E-04,6.01E-01
943,2.17E-04,3.39E-06,9.76E-06,3.37E-06,8.67E-07,1.55E-06,1.58E-06,4.69E-04,5.92E-01
944,2.17E-04,3.42E-06,9.44E-06,3.11E-06,1.05E-06,1.51E-06,1.50E-06,2.91E-04,5.83E-01
945,2.19E-04,3.56E-06,8.81E-06,2.92E-06,9.26E-07,1.32E-06,1.48E-06,2.81E-04,5.75E-01
946,2.13E-04,3.67E-06,8.18E-06,2.74E-06,8.06E-07,1.13E-06,1.46E-06,2.72E-04,5.66E-01
947,2.08E-04,4.02E-06,8.00E-06,2.63E-06,8.47E-07,1.12E-06,1.22E-06,2.73E-04,5.57E-01
948,2.02E-04,4.36E-06,7.80E-06,2.51E-06,8.88E-07,1.10E-06,9.74E-07,2.75E-04,5.47E-01
949,1.96E-04,4.22E-06,7.41E-06,2.40E-06,8.54E-07,1.15E-06,1.00E-06,1.40E-04,5.39E-01
950,1.91E-04,4.13E-06,7.02E-06,2.29E-06,8.22E-07,1.21E-06,1.04E-06,4.37E-06,5.31E-01
951,1.87E-04,4.44E-06,6.53E-06,1.99E-06,7.66E-07,1.01E-06,1.05E-06,3.88E-06,5.23E-01
952,1.82E-04,4.75E-06,6.01E-06,1.67E-06,7.10E-07,8.19E-07,1.06E-06,3.38E-06,5.15E-01
953,1.78E-04,5.28E-06,6.28E-06,2.53E-06,8.74E-07,1.10E-06,9.38E-07,3.07E-06,5.08E-01
954,1.74E-04,5.82E-06,6.55E-06,3.41E-06,1.04E-06,1.38E-06,8.17E-07,2.75E-06,5.01E-01
955,1.69E-04,5.44E-06,6.40E-06,2.92E-06,8.62E-07,1.26E-06,7.70E-07,2.89E-06,4.94E-01
956,1.72E-04,5.07E-06,6.26E-06,2.44E-06,6.86E-07,1.13E-06,7.25E-07,3.01E-06,4.86E-01
957,1.75E-04,5.69E-06,6.68E-06,2.44E-06,8.23E-07,1.04E-06,7.25E-07,2.49E-06,4.78E-01
958,1.79E-04,6.28E-06,7.14E-06,2.44E-06,9.58E-07,9.53E-07,7.27E-07,1.99E-06,4.70E-01
959,1.80E-04,5.86E-06,7.28E-06,2.33E-06,7.95E-07,1.02E-06,7.83E-07,1.99E-06,4.62E-01
960,1.83E-04,5.41E-06,7.40E-06,2.21E-06,6.33E-07,1.08E-06,8.39E-07,1.99E-06,4.54E-01
961,1.77E-04,6.01E-06,8.10E-06,2.22E-06,8.31E-07,1.02E-06,6.71E-07,1.75E-06,4.48E-01
962,1.71E-04,6.65E-06,8.80E-06,2.20E-06,1.03E-06,9.48E-07,5.02E-07,1.53E-06,4.41E-01
963,1.64E-04,6.24E-06,9.27E-06,2.25E-06,9.55E-07,9.08E-07,6.94E-07,1.41E-06,4.35E-01
964,1.58E-04,5.84E-06,9.77E-06,2.29E-06,8.81E-07,8.68E-07,8.89E-07,1.29E-06,4.28E-01
965,1.51E-04,5.42E-06,1.05E-05,2.02E-06,8.63E-07,7.71E-07,7.14E-07,1.13E-06,4.21E-01
966,1.46E-04,5.01E-06,1.11E-05,1.75E-06,8.45E-07,6.73E-07,5.39E-07,9.62E-07,4.15E-01
967,1.41E-04,4.95E-06,1.17E-05,1.75E-06,7.71E-07,6.86E-07,5.06E-07,1.02E-06,4.09E-01
968,1.36E-04,4.88E-06,1.23E-05,1.76E-06,6.98E-07,7.00E-07,4.73E-07,1.08E-06,4.03E-01
969,1.31E-04,4.60E-06,1.30E-05,1.80E-06,8.01E-07,7.23E-07,5.39E-07,1.11E-06,3.96E-01
970,1.26E-04,4.35E-06,1.36E-05,1.84E-06,9.04E-07,7.47E-07,6.08E-07,1.13E-06,3.90E-01
971,1.27E-04,4.18E-06,1.39E-05,1.81E-06,8.16E-07,6.97E-07,5.83E-07,1.00E-06,3.84E-01
972,1.29E-04,4.05E-06,1.43E-05,1.78E-06,7.26E-07,6.48E-07,5.57E-07,8.69E-07,3.79E-01
973,1.31E-04,3.74E-06,1.48E-05,1.66E-06,6.83E-07,7.67E-07,6.38E-07,9.12E-07,3.74E-01
974,1.32E-04,3.44E-06,1.53E-05,1.54E-06,6.39E-07,8.86E-07,7.20E-07,9.55E-07,3.69E-01
975,1.34E-04,3.68E-06,1.52E-05,1.52E-06,7.04E-07,8.11E-07,7.18E-07,8.72E-07,3.64E-01
976,1.29E-04,3.89E-06,1.52E-05,1.49E-06,7.70E-07,7.34E-07,7.15E-07,7.87E-07,3.58E-01
977,1.25E-04,4.03E-06,1.48E-05,1.52E-06,7.84E-07,7.28E-07,6.33E-07,7.57E-07,3.53E-01
978,1.20E-04,4.13E-06,1.44E-05,1.55E-06,7.96E-07,7.25E-07,5.51E-07,7.25E-07,3.47E-01
979,1.16E-04,3.99E-06,1.36E-05,1.40E-06,8.29E-07,7.03E-07,6.15E-07,7.23E-07,3.42E-01
980,1.11E-04,3.85E-06,1.28E-05,1.24E-06,8.61E-07,6.80E-07,6.81E-07,7.20E-07,3.37E-01
981,1.08E-04,3.86E-06,1.23E-05,1.40E-06,8.31E-07,6.59E-07,5.33E-07,6.93E-07,3.33E-01
982,1.05E-04,3.87E-06,1.19E-05,1.56E-06,8.00E-07,6.38E-07,3.85E-07,6.66E-07,3.29E-01
983,1.01E-04,4.13E-06,1.09E-05,1.34E-06,8.42E-07,6.02E-07,3.90E-07,7.17E-07,3.25E-01
984,9.77E-05,4.38E-06,9.99E-06,1.12E-06,8.84E-07,5.66E-07,3.94E-07,7.66E-07,3.21E-01
985,9.42E-05,4.60E-06,9.41E-06,1.36E-06,1.00E-06,6.40E-07,4.29E-07,7.02E-07,3.17E-01
986,9.86E-05,4.83E-06,8.86E-06,1.60E-06,1.12E-06,7.14E-07,4.64E-07,6.37E-07,3.13E-01
987,1.03E-04,5.15E-06,8.16E-06,1.41E-06,1.33E-06,6.35E-07,5.61E-07,6.60E-07,3.08E-01
988,1.07E-04,5.44E-06,7.44E-06,1.22E-06,1.54E-06,5.57E-07,6.57E-07,6.84E-07,3.03E-01
989,1.11E-04,5.16E-06,6.87E-06,1.20E-06,1.54E-06,5.15E-07,5.21E-07,5.61E-07,2.99E-01
990,1.15E-04,4.88E-06,6.31E-06,1.18E-06,1.55E-06,4.73E-07,3.84E-07,4.37E-07,2.95E-01
991,1.09E-04,4.70E-06,6.00E-06,1.10E-06,1.53E-06,5.06E-07,4.32E-07,5.26E-07,2.90E-01
992,1.03E-04,4.52E-06,5.66E-06,1.01E-06,1.53E-06,5.38E-07,4.81E-07,6.14E-07,2.84E-01
993,9.64E-05,4.60E-06,5.62E-06,1.25E-06,1.69E-06,5.49E-07,5.52E-07,6.49E-07,2.80E-01
994,9.02E-05,4.68E-06,5.55E-06,1.48E-06,1.87E-06,5.60E-07,6.25E-07,6.84E-07,2.76E-01
995,8.39E-05,4.25E-06,5.29E-06,1.27E-06,1.79E-06,5.47E-07,5.36E-07,6.65E-07,2.71E-01
996,8.43E-05,3.86E-06,5.04E-06,1.06E-06,1.71E-06,5.35E-07,4.46E-07,6.46E-07,2.67E-01
997,8.44E-05,3.64E-06,5.19E-06,1.25E-06,1.76E-06,5.82E-07,4.56E-07,6.17E-07,2.63E-01
998,8.46E-05,3.40E-06,5.32E-06,1.43E-06,1.80E-06,6.28E-07,4.64E-07,5.88E-07,2.59E-01
999,8.50E-05,3.32E-06,5.25E-06,1.26E-06,1.67E-06,5.73E-07,4.58E-07,4.56E-07,2.55E-01
1000,8.53E-05,3.23E-06,5.15E-06,1.09E-06,1.54E-06,5.18E-07,4.50E-07,3.23E-07,2.51E-01
1001,8.22E-05,2.96E-06,5.32E-06,1.20E-06,1.51E-06,5.69E-07,4.48E-07,4.46E-07,2.48E-01
1002,7.92E-05,2.69E-06,5.45E-06,1.32E-06,1.49E-06,6.21E-07,4.45E-07,5.67E-07,2.45E-01
1003,7.61E-05,2.49E-06,5.40E-06,1.32E-06,1.33E-06,5.55E-07,4.25E-07,4.99E-07,2.42E-01
1004,7.29E-05,2.28E-06,5.35E-06,1.32E-06,1.18E-06,4.91E-07,4.04E-07,4.30E-07,2.38E-01
1005,7.01E-05,2.43E-06,5.32E-06,1.45E-06,1.20E-06,5.46E-07,3.91E-07,4.72E-07,2.36E-01
1006,7.03E-05,2.58E-06,5.29E-06,1.58E-06,1.21E-06,6.03E-07,3.79E-07,5.15E-07,2.33E-01
1007,7.06E-05,2.43E-06,4.95E-06,1.56E-06,1.06E-06,5.40E-07,3.63E-07,5.05E-07,2.29E-01
1008,7.08E-05,2.27E-06,4.61E-06,1.55E-06,9.03E-07,4.77E-07,3.48E-07,4.94E-07,2.26E-01
1009,7.09E-05,2.32E-06,4.21E-06,1.59E-06,7.12E-07,3.56E-07,3.58E-07,4.16E-07,2.22E-01
1010,7.11E-05,2.36E-06,3.84E-06,1.64E-06,5.22E-07,2.36E-07,3.68E-07,3.35E-07,2.18E-01
1011,6.89E-05,2.33E-06,3.55E-06,1.82E-06,4.61E-07,4.13E-07,4.00E-07,4.02E-07,2.14E-01
1012,6.67E-05,2.30E-06,3.27E-06,2.00E-06,4.01E-07,5.91E-07,4.34E-07,4.67E-07,2.11E-01
1013,6.46E-05,2.37E-06,3.14E-06,1.94E-06,4.84E-07,5.78E-07,4.08E-07,4.25E-07,2.07E-01
1014,6.23E-05,2.43E-06,2.98E-06,1.88E-06,5.67E-07,5.66E-07,3.82E-07,3.82E-07,2.03E-01
1015,6.00E-05,2.56E-06,2.72E-06,1.87E-06,4.65E-07,5.21E-07,3.62E-07,4.48E-07,1.99E-01
1016,6.09E-05,2.68E-06,2.43E-06,1.85E-06,3.62E-07,4.76E-07,3.42E-07,5.13E-07,1.94E-01
1017,6.18E-05,2.92E-06,2.25E-06,1.80E-06,4.07E-07,4.37E-07,3.51E-07,3.84E-07,1.90E-01
1018,6.25E-05,3.15E-06,2.07E-06,1.74E-06,4.53E-07,3.99E-07,3.59E-07,2.54E-07,1.86E-01
1019,6.34E-05,3.15E-06,2.04E-06,1.82E-06,4.30E-07,3.86E-07,3.08E-07,2.47E-07,1.82E-01
1020,6.42E-05,3.14E-06,2.00E-06,1.91E-06,4.08E-07,3.72E-07,2.55E-07,2.40E-07,1.79E-01
1021,6.08E-05,3.38E-06,2.08E-06,1.92E-06,4.45E-07,4.26E-07,2.60E-07,3.69E-07,1.74E-01
1022,5.75E-05,3.63E-06,2.16E-06,1.93E-06,4.84E-07,4.78E-07,2.63E-07,4.98E-07,1.70E-01
1023,5.40E-05,3.68E-06,2.13E-06,1.85E-06,4.50E-07,4.01E-07,2.59E-07,4.12E-07,1.67E-01
1024,5.08E-05,3.75E-06,2.09E-06,1.77E-06,4.17E-07,3.23E-07,2.56E-07,3.28E-07,1.63E-01
1025,4.73E-05,3.71E-06,2.24E-06,1.75E-06,4.11E-07,3.37E-07,2.43E-07,2.90E-07,1.59E-01
1026,4.59E-05,3.68E-06,2.40E-06,1.72E-06,4.06E-07,3.51E-07,2.32E-07,2.51E-07,1.55E-01
1027,4.42E-05,3.68E-06,2.42E-06,1.64E-06,3.63E-07,2.88E-07,2.08E-07,2.51E-07,1.50E-01
1028,4.25E-05,3.68E-06,2.44E-06,1.55E-06,3.18E-07,2.26E-07,1.86E-07,2.49E-07,1.46E-01
1029,4.08E-05,3.73E-06,2.66E-06,1.63E-06,3.22E-07,3.02E-07,2.12E-07,2.53E-07,1.42E-01
1030,3.92E-05,3.81E-06,2.90E-06,1.71E-06,3.25E-07,3.79E-07,2.39E-07,2.57E-07,1.38E-01
1031,3.80E-05,3.61E-06,2.87E-06,1.53E-06,3.81E-07,4.15E-07,1.93E-07,3.10E-07,1.33E-01
1032,3.67E-05,3.42E-06,2.85E-06,1.35E-06,4.38E-07,4.53E-07,1.50E-07,3.64E-07,1.27E-01
1033,3.55E-05,3.29E-06,2.87E-06,1.37E-06,4.02E-07,4.75E-07,1.97E-07,3.49E-07,1.22E-01
1034,3.42E-05,3.17E-06,2.90E-06,1.38E-06,3.64E-07,4.97E-07,2.42E-07,3.32E-07,1.16E-01
1035,3.29E-05,3.06E-06,2.82E-06,1.32E-06,3.64E-07,5.28E-07,2.21E-07,2.97E-07,1.10E-01
1036,3.35E-05,2.95E-06,2.77E-06,1.27E-06,3.65E-07,5.58E-07,1.99E-07,2.62E-07,1.03E-01
1037,3.39E-05,2.78E-06,2.57E-06,1.27E-06,3.65E-07,5.87E-07,1.82E-07,2.86E-07,9.56E-02
1038,3.44E-05,2.61E-06,2.39E-06,1.28E-06,3.66E-07,6.17E-07,1.65E-07,3.09E-07,8.79E-02
1039,3.48E-05,2.53E-06,2.23E-06,1.22E-06,3.55E-07,6.17E-07,1.66E-07,2.50E-07,7.97E-02
1040,3.52E-05,2.45E-06,2.07E-06,1.16E-06,3.45E-07,6.16E-07,1.67E-07,1.88E-07,7.15E-02
1041,3.37E-05,2.29E-06,2.04E-06,1.20E-06,3.70E-07,7.21E-07,1.52E-07,2.13E-07,6.29E-02
1042,3.22E-05,2.12E-06,2.01E-06,1.24E-06,3.94E-07,8.29E-07,1.38E-07,2.38E-07,5.42E-02
1043,3.07E-05,2.06E-06,1.83E-06,1.29E-06,3.40E-07,8.05E-07,1.43E-07,2.44E-07,4.64E-02
1044,2.92E-05,1.99E-06,1.66E-06,1.34E-06,2.85E-07,7.82E-07,1.47E-07,2.51E-07,3.86E-02
1045,2.76E-05,1.88E-06,1.54E-06,1.33E-06,3.12E-07,7.42E-07,1.23E-07,2.16E-07,3.28E-02
1046,2.68E-05,1.76E-06,1.42E-06,1.32E-06,3.39E-07,7.03E-07,9.86E-08,1.80E-07,2.70E-02
1047,2.60E-05,1.66E-06,1.43E-06,1.43E-06,3.34E-07,6.50E-07,1.26E-07,2.03E-07,2.22E-02
1048,2.51E-05,1.54E-06,1.44E-06,1.55E-06,3.26E-07,5.97E-07,1.53E-07,2.24E-07,1.75E-02
1049,2.43E-05,1.53E-06,1.41E-06,1.60E-06,2.64E-07,5.45E-07,1.51E-07,1.82E-07,1.37E-02
1050,2.34E-05,1.52E-06,1.37E-06,1.66E-06,2.00E-07,4.94E-07,1.49E-07,1.40E-07,9.80E-03
1051,2.26E-05,1.49E-06,1.52E-06,1.76E-06,1.86E-07,4.21E-07,1.56E-07,1.46E-07,7.56E-03
1052,2.16E-05,1.47E-06,1.68E-06,1.86E-06,1.72E-07,3.47E-07,1.63E-07,1.51E-07,5.33E-03
1053,2.07E-05,1.48E-06,1.85E-06,1.99E-06,1.74E-07,3.27E-07,1.64E-07,1.71E-07,4.09E-03
1054,1.99E-05,1.48E-06,2.02E-06,2.13E-06,1.75E-07,3.04E-07,1.64E-07,1.90E-07,2.84E-03
1055,1.88E-05,1.55E-06,2.23E-06,2.34E-06,1.60E-07,2.61E-07,1.55E-07,1.70E-07,2.18E-03
1056,1.85E-05,1.61E-06,2.43E-06,2.55E-06,1.46E-07,2.20E-07,1.46E-07,1.50E-07,1.53E-03
1057,1.82E-05,1.66E-06,2.60E-06,2.85E-06,1.29E-07,1.74E-07,1.45E-07,1.24E-07,1.20E-03
1058,1.78E-05,1.71E-06,2.78E-06,3.13E-06,1.12E-07,1.28E-07,1.45E-07,9.73E-08,8.63E-04
1059,1.75E-05,1.80E-06,2.89E-06,3.49E-06,9.22E-08,1.33E-07,1.52E-07,1.01E-07,6.93E-04
1060,1.71E-05,1.90E-06,3.01E-06,3.83E-06,7.24E-08,1.38E-07,1.59E-07,1.04E-07,5.24E-04
1061,1.63E-05,2.14E-06,3.09E-06,4.36E-06,1.11E-07,1.53E-07,1.80E-07,1.15E-07,4.24E-04
1062,1.55E-05,2.37E-06,3.21E-06,4.90E-06,1.49E-07,1.69E-07,1.99E-07,1.25E-07,3.24E-04
1063,1.47E-05,2.55E-06,3.13E-06,5.60E-06,1.37E-07,1.44E-07,1.89E-07,1.19E-07,2.73E-04
1064,1.39E-05,2.73E-06,3.02E-06,6.31E-06,1.25E-07,1.19E-07,1.78E-07,1.13E-07,2.21E-04
1065,1.31E-05,2.90E-06,2.99E-06,7.21E-06,1.12E-07,1.21E-07,1.65E-07,1.25E-07,2.00E-04
1066,1.28E-05,3.07E-06,2.97E-06,8.09E-06,9.98E-08,1.23E-07,1.52E-07,1.37E-07,1.79E-04
1067,1.23E-05,3.31E-06,2.79E-06,9.18E-06,9.29E-08,1.30E-07,1.58E-07,1.12E-07,1.57E-04
1068,1.19E-05,3.55E-06,2.61E-06,1.03E-05,8.59E-08,1.37E-07,1.63E-07,8.60E-08,1.35E-04
1069,1.15E-05,3.80E-06,2.55E-06,1.18E-05,8.91E-08,1.48E-07,1.58E-07,8.59E-08,1.24E-04
1070,1.11E-05,4.07E-06,2.48E-06,1.32E-05,9.22E-08,1.59E-07,1.52E-07,8.60E-08,1.14E-04
1071,1.07E-05,4.20E-06,2.33E-06,1.47E-05,8.48E-08,1.79E-07,1.51E-07,9.44E-08,1.09E-04
1072,1.02E-05,4.32E-06,2.17E-06,1.62E-05,7.73E-08,1.96E-07,1.49E-07,1.03E-07,1.05E-04
1073,9.75E-06,4.32E-06,1.99E-06,1.78E-05,9.87E-08,1.77E-07,1.22E-07,8.08E-08,9.93E-05
1074,9.30E-06,4.36E-06,1.81E-06,1.95E-05,1.20E-07,1.59E-07,9.57E-08,5.83E-08,9.37E-05
1075,8.85E-06,4.56E-06,1.85E-06,2.11E-05,1.07E-07,1.81E-07,9.24E-08,8.00E-08,8.01E-05
1076,8.80E-06,4.76E-06,1.89E-06,2.28E-05,9.41E-08,2.04E-07,8.90E-08,1.02E-07,6.65E-05
1077,8.77E-06,4.80E-06,2.01E-06,2.45E-05,1.04E-07,2.19E-07,9.58E-08,9.22E-08,7.32E-05
1078,8.75E-06,4.89E-06,2.12E-06,2.65E-05,1.13E-07,2.33E-07,1.03E-07,8.25E-08,8.00E-05
1079,8.70E-06,4.77E-06,2.42E-06,2.82E-05,1.20E-07,2.24E-07,8.92E-08,7.97E-08,8.00E-05
1080,8.67E-06,4.70E-06,2.72E-06,3.00E-05,1.27E-07,2.17E-07,7.60E-08,7.68E-08,8.01E-05
1081,8.38E-06,4.86E-06,3.12E-06,3.19E-05,1.46E-07,2.28E-07,9.07E-08,6.95E-08,7.18E-05
1082,8.10E-06,5.06E-06,3.52E-06,3.39E-05,1.65E-07,2.41E-07,1.06E-07,6.21E-08,6.35E-05
1083,7.80E-06,5.03E-06,3.98E-06,3.63E-05,1.74E-07,2.31E-07,9.15E-08,6.82E-08,6.56E-05
1084,7.51E-06,4.95E-06,4.44E-06,3.90E-05,1.83E-07,2.20E-07,7.75E-08,7.44E-08,6.76E-05
1085,7.23E-06,5.04E-06,4.73E-06,4.07E-05,2.04E-07,2.15E-07,7.23E-08,7.38E-08,7.01E-05
1086,7.16E-06,5.16E-06,5.02E-06,4.25E-05,2.26E-07,2.10E-07,6.71E-08,7.33E-08,7.28E-05
1087,7.10E-06,5.44E-06,5.37E-06,4.58E-05,2.58E-07,1.94E-07,5.29E-08,6.77E-08,6.75E-05
1088,7.03E-06,5.72E-06,5.74E-06,4.91E-05,2.90E-07,1.77E-07,3.86E-08,6.20E-08,6.18E-05
1089,6.96E-06,5.73E-06,6.04E-06,5.20E-05,3.14E-07,1.63E-07,5.41E-08,5.93E-08,5.78E-05
1090,6.90E-06,5.77E-06,6.33E-06,5.51E-05,3.38E-07,1.48E-07,6.97E-08,5.64E-08,5.38E-05
1091,6.80E-06,5.98E-06,6.16E-06,5.88E-05,3.75E-07,1.34E-07,8.05E-08,6.34E-08,4.17E-05
1092,6.71E-06,6.18E-06,5.97E-06,6.26E-05,4.15E-07,1.21E-07,9.16E-08,7.06E-08,2.92E-05
1093,6.61E-06,6.38E-06,5.86E-06,6.81E-05,4.41E-07,1.02E-07,8.23E-08,6.05E-08,3.04E-05
1094,6.51E-06,6.59E-06,5.72E-06,7.36E-05,4.70E-07,8.41E-08,7.30E-08,5.05E-08,3.16E-05
1095,6.42E-06,6.83E-06,5.12E-06,8.11E-05,4.84E-07,8.26E-08,1.13E-07,5.91E-08,3.00E-05
1096,6.39E-06,7.08E-06,4.55E-06,8.88E-05,5.00E-07,8.12E-08,1.54E-07,6.74E-08,2.84E-05
1097,6.38E-06,7.56E-06,4.35E-06,9.99E-05,5.22E-07,7.44E-08,2.24E-07,5.44E-08,2.80E-05
1098,6.35E-06,8.04E-06,4.15E-06,1.11E-04,5.45E-07,6.76E-08,2.92E-07,4.11E-08,2.75E-05
1099,6.34E-06,8.09E-06,3.75E-06,1.25E-04,5.61E-07,6.17E-08,3.81E-07,4.85E-08,1.41E-05
1100,6.33E-06,8.14E-06,3.32E-06,1.40E-04,5.78E-07,5.57E-08,4.68E-07,5.59E-08,6.76E-07
