spectra (nm),
706.15,0.167568244
706.49,0.172041515
706.82,0.176856477
707.16,0.181068359
707.5,0.185162657
707.83,0.189047002
708.17,0.192578872
708.5,0.196329013
708.84,0.200432987
709.17,0.20409838
709.51,0.208117814
709.84,0.212264696
710.18,0.216089301
710.52,0.219870399
710.85,0.224133238
711.19,0.226561693
711.52,0.231606557
711.86,0.235288131
712.19,0.237748596
712.53,0.242335341
712.86,0.245449928
713.2,0.248620232
713.53,0.252551836
713.87,0.254620167
714.2,0.25876811
714.54,0.262121772
714.87,0.265892965
715.21,0.268771851
715.54,0.272324776
715.88,0.27788966
716.21,0.278116759
716.54,0.282874185
716.88,0.285580441
717.21,0.290234099
717.55,0.293641884
717.88,0.296108482
718.22,0.299578288
718.55,0.303359275
718.88,0.305306318
719.22,0.309607662
719.55,0.311060409
719.89,0.317428481
720.22,0.318335047
720.56,0.321882268
720.89,0.321326752
721.22,0.322946422
721.56,0.327988359
721.89,0.329277381
722.22,0.330716909
722.56,0.332493837
722.89,0.334609992
723.23,0.336706352
723.56,0.340167627
723.89,0.342005857
724.23,0.34302026
724.56,0.346817454
724.89,0.35002154
725.23,0.349700072
725.56,0.353509936
725.89,0.356893302
726.23,0.35813391
726.56,0.357720624
726.89,0.362173348
727.23,0.362753849
727.56,0.365608244
727.89,0.36752604
728.23,0.368170711
728.56,0.369653158
728.89,0.371272685
729.22,0.372380322
729.56,0.375186348
729.89,0.374925935
730.22,0.377283511
730.55,0.378996771
730.89,0.381513254
731.22,0.380410014
731.55,0.38236347
731.89,0.383885813
732.22,0.38664987
732.55,0.384889033
732.88,0.388150241
733.21,0.388316359
733.55,0.389073126
733.88,0.389772609
734.21,0.390434174
734.54,0.394236243
734.88,0.396426936
735.21,0.39749185
735.54,0.397052875
735.87,0.396770838
736.2,0.400045704
736.54,0.401748452
736.87,0.40212585
737.2,0.403794737
737.53,0.404548088
737.86,0.406540453
738.19,0.407639134
738.53,0.408725474
738.86,0.409109441
739.19,0.411184593
739.52,0.411235325
739.85,0.411842323
740.18,0.412661424
740.51,0.415784097
740.85,0.415015231
741.18,0.417070049
741.51,0.415450411
741.84,0.418438456
742.17,0.419263174
742.5,0.42157314
742.83,0.421323082
743.16,0.42518745
743.49,0.421903066
743.82,0.424915483
744.16,0.422925454
744.49,0.424163717
744.82,0.42613533
745.15,0.426523001
745.48,0.427825314
745.81,0.429542744
746.14,0.427497407
746.47,0.43084068
746.8,0.430978426
747.13,0.431554224
747.46,0.432052782
747.79,0.433127675
748.12,0.431806295
748.45,0.43319727
748.78,0.43607467
749.11,0.43371826
749.44,0.439062189
749.77,0.43847458
750.1,0.437082673
750.43,0.437321101
750.76,0.437743842
751.09,0.437717724
751.42,0.443326402
751.75,0.439848637
752.08,0.44258335
752.41,0.442994293
752.74,0.442213035
753.07,0.443673982
753.4,0.444617139
753.73,0.443043018
754.06,0.443929176
754.39,0.447936384
754.72,0.445927316
755.05,0.445431218
755.38,0.447733711
755.71,0.447318947
756.03,0.449026084
756.36,0.449981238
756.69,0.450460648
757.02,0.450190059
757.35,0.450200276
757.68,0.449249395
758.01,0.451666617
758.34,0.451861786
758.67,0.454861501
758.99,0.453754292
759.32,0.456353504
759.65,0.455066403
759.98,0.459026463
760.31,0.457563548
760.64,0.461081193
760.97,0.456548413
761.29,0.458220119
761.62,0.454350467
761.95,0.459677244
762.28,0.45782887
762.61,0.459313837
762.94,0.459321787
763.26,0.459723566
763.59,0.45872153
763.92,0.459740554
764.25,0.458685179
764.58,0.460323737
764.9,0.458267675
765.23,0.462259442
765.56,0.46374533
765.89,0.462138207
766.22,0.463016041
766.54,0.462628259
766.87,0.463845583
767.2,0.461275481
767.53,0.463907957
767.85,0.463564327
768.18,0.464551848
768.51,0.46513023
768.84,0.462569481
769.16,0.466481032
769.49,0.46937029
769.82,0.468531422
770.15,0.464964717
770.47,0.468693143
770.8,0.467609095
771.13,0.465987509
771.45,0.470417648
771.78,0.470535954
772.11,0.469372067
772.43,0.471341864
772.76,0.470380761
773.09,0.469747118
773.41,0.469082189
773.74,0.472668597
774.07,0.470046907
774.39,0.471551088
774.72,0.473063374
775.05,0.472278503
775.37,0.472845431
775.7,0.475467205
776.03,0.473451792
776.35,0.475085661
776.68,0.473842479
777.01,0.47663192
777.33,0.478158018
777.66,0.475264085
777.98,0.473643403
778.31,0.475078516
778.64,0.477797046
778.96,0.477893202
779.29,0.476607392
779.61,0.477785764
779.94,0.478051679
780.27,0.48035198
780.59,0.477244631
780.92,0.477942835
781.24,0.477894895
781.57,0.480253127
781.89,0.480312874
782.22,0.480945201
782.54,0.482052299
782.87,0.482571503
783.19,0.483154661
783.52,0.482737733
783.85,0.481931203
784.17,0.485811353
784.5,0.484347783
784.82,0.484697451
785.15,0.484112633
785.47,0.483226684
785.8,0.484228311
786.12,0.483462963
786.45,0.486402159
786.77,0.486173624
787.1,0.487235017
787.42,0.487075178
787.74,0.485695211
788.07,0.483994067
788.39,0.485651556
788.72,0.486908152
789.04,0.486007895
789.37,0.48376261
789.69,0.481664477
790.02,0.485035643
790.34,0.488049806
790.66,0.48655991
790.99,0.487358872
791.31,0.492063291
791.64,0.48965272
791.96,0.488899724
792.29,0.489296291
792.61,0.490520708
792.93,0.488106989
793.26,0.49042894
793.58,0.491827316
793.9,0.492076838
794.23,0.487400813
794.55,0.492840354
794.88,0.489314188
795.2,0.489270285
795.52,0.493029128
795.85,0.49230766
796.17,0.48903571
796.49,0.490619014
796.82,0.493930986
797.14,0.492652315
797.46,0.494333267
797.79,0.490417133
798.11,0.49554467
798.43,0.491530405
798.76,0.493560632
799.08,0.496232928
799.4,0.491992139
799.73,0.489060306
800.05,0.49023147
800.37,0.492755613
800.69,0.493987887
801.02,0.493182778
801.34,0.495769435
801.66,0.491882707
801.98,0.494239
802.31,0.493553087
802.63,0.491296629
802.95,0.4941236
803.27,0.492747043
803.6,0.492439388
803.92,0.491470336
804.24,0.494528621
804.56,0.496208405
804.89,0.496728078
805.21,0.494401012
805.53,0.494377339
805.85,0.498093888
806.17,0.498310502
806.5,0.493166381
806.82,0.499442973
807.14,0.497778907
807.46,0.49587947
807.78,0.498094165
808.11,0.498665361
808.43,0.498078243
808.75,0.497705401
809.07,0.497916448
809.39,0.49644599
809.71,0.497930587
810.03,0.498359197
810.36,0.502903701
810.68,0.500901876
811,0.500180722
811.32,0.499789326
811.64,0.50051174
811.96,0.499968982
812.28,0.499932904
812.6,0.503293322
812.93,0.497482945
813.25,0.500839179
813.57,0.497458652
813.89,0.501077342
814.21,0.504382782
814.53,0.501624088
814.85,0.493519589
815.17,0.497816395
815.49,0.498407158
815.81,0.507250724
816.13,0.498910931
816.45,0.496974969
816.77,0.510441568
817.09,0.506329923
817.41,0.501440194
817.73,0.506417254
818.06,0.505514527
818.38,0.509002157
818.7,0.510543217
819.02,0.508007043
819.34,0.50675481
819.66,0.512611473
819.98,0.513386587
820.3,0.510773489
820.62,0.516214938
820.94,0.519310919
821.26,0.516061246
821.57,0.517997814
821.89,0.514872826
822.21,0.513205977
822.53,0.51062101
822.85,0.508201185
823.17,0.512999813
823.49,0.514096503
823.81,0.517361584
824.13,0.514284752
824.45,0.522693542
824.77,0.526874264
825.09,0.523508532
825.41,0.523233683
825.73,0.520659706
826.05,0.521159412
826.36,0.524001834
826.68,0.524047281
827,0.525795451
827.32,0.526719835
827.64,0.522750681
827.96,0.524779035
828.28,0.519579094
828.6,0.519495819
828.92,0.523131812
829.23,0.524756305
829.55,0.524565611
829.87,0.522930823
830.19,0.531759592
830.51,0.528494324
830.83,0.529584564
831.14,0.530989961
831.46,0.530783316
831.78,0.527447172
832.1,0.53082708
832.42,0.52735053
832.74,0.526545377
833.05,0.530787918
833.37,0.529629083
833.69,0.53344168
834.01,0.529628999
834.32,0.525247687
834.64,0.53109136
834.96,0.532277571
835.28,0.536721341
835.6,0.532179648
835.91,0.532261191
836.23,0.533811052
836.55,0.532759136
836.87,0.529239084
837.18,0.538090384
837.5,0.532358522
837.82,0.538789347
838.13,0.537299592
838.45,0.533887119
838.77,0.532674561
839.09,0.53359087
839.4,0.539536596
839.72,0.533212572
840.04,0.542659168
840.35,0.537353879
840.67,0.537600768
840.99,0.538444456
841.3,0.535085862
841.62,0.539828418
841.94,0.538769006
842.25,0.536667339
842.57,0.540777776
842.89,0.5340782
843.2,0.539685708
843.52,0.536040221
843.84,0.535124118
844.15,0.545572652
844.47,0.544465905
844.79,0.542618701
845.1,0.537314014
845.42,0.546582263
845.73,0.542578425
846.05,0.539832242
846.37,0.546472366
846.68,0.542462134
847,0.544417826
847.31,0.54723469
847.63,0.544757134
847.94,0.545631955
848.26,0.550709748
848.58,0.545786907
848.89,0.541660722
849.21,0.542725599
849.52,0.541417983
849.84,0.543986393
850.15,0.543209608
850.47,0.543052839
850.78,0.541230776
851.1,0.543613275
851.41,0.54214955
851.73,0.546804398
852.04,0.546140496
852.36,0.54869777
852.67,0.55024706
852.99,0.551097902
853.3,0.545159562
853.62,0.549198156
853.93,0.549082464
854.25,0.546026911
854.56,0.544149902
854.88,0.545034412
855.19,0.545566709
855.51,0.546622354
855.82,0.543316457
856.14,0.551225929
856.45,0.547465228
856.77,0.541156055
857.08,0.548515535
857.39,0.554470643
857.71,0.547784821
858.02,0.554201082
858.34,0.548943295
858.65,0.549285518
858.96,0.550997056
859.28,0.54708824
859.59,0.54825547
859.91,0.555060207
860.22,0.542255423
860.53,0.553720506
860.85,0.551553128
861.16,0.548886702
861.47,0.548782963
861.79,0.553365064
862.1,0.549158741
862.42,0.551978141
862.73,0.556123697
863.04,0.549829439
863.36,0.550844475
863.67,0.555488439
863.98,0.55135914
864.3,0.540407683
864.61,0.552920615
864.92,0.555429668
865.23,0.551653013
865.55,0.554221476
865.86,0.554080762
866.17,0.553164826
866.49,0.556478878
866.8,0.551468036
867.11,0.54881051
867.42,0.562510862
867.74,0.551147772
868.05,0.549393828
868.36,0.553046168
868.67,0.554937222
868.99,0.554071413
869.3,0.555516394
869.61,0.561100841
869.92,0.554279098
870.24,0.561566004
870.55,0.5559571
870.86,0.558093271
871.17,0.557381963
871.49,0.562426148
871.8,0.557705662
872.11,0.553787195
872.42,0.558168667
872.73,0.55928218
873.04,0.55712657
873.36,0.554129107
873.67,0.560378765
873.98,0.558390931
874.29,0.56268979
874.6,0.565940815
874.91,0.562596658
875.23,0.561499901
875.54,0.560168524
875.85,0.561051016
876.16,0.562158105
876.47,0.555511732
876.78,0.566490366
877.09,0.567366297
877.4,0.566329304
877.72,0.554955226
878.03,0.560781621
878.34,0.559299618
878.65,0.564867854
878.96,0.565450363
879.27,0.56362712
879.58,0.56573533
879.89,0.563664933
880.2,0.567944153
880.51,0.570857093
880.82,0.565572584
881.13,0.56482238
881.45,0.566547046
881.76,0.568662067
882.07,0.566035516
882.38,0.570392698
882.69,0.564934614
883,0.569530338
883.31,0.577838031
883.62,0.568214739
883.93,0.566035245
884.24,0.566134689
884.55,0.564588414
884.86,0.565890481
885.17,0.571948037
885.48,0.570844077
885.79,0.566939914
886.1,0.568688883
886.41,0.56296578
886.72,0.573548406
887.03,0.569108068
887.33,0.567327936
887.64,0.568720034
887.95,0.56545672
888.26,0.570548427
888.57,0.578653154
888.88,0.576841422
889.19,0.567864621
889.5,0.569427405
889.81,0.577684415
890.12,0.572160287
890.43,0.579044218
890.74,0.565793391
891.05,0.570596053
891.35,0.573693323
891.66,0.573147064
891.97,0.561868102
892.28,0.578313552
892.59,0.578467513
892.9,0.560343783
893.21,0.57497438
893.51,0.567472504
893.82,0.568425631
894.13,0.564217342
894.44,0.562483014
894.75,0.566658694
895.06,0.571737824
895.36,0.565931448
895.67,0.558203402
895.98,0.567324306
896.29,0.562568678
896.6,0.556291678
896.91,0.561701496
897.21,0.56269148
897.52,0.559065128
897.83,0.57379628
898.14,0.562008777
898.44,0.545440162
898.75,0.548697577
899.06,0.565456885
899.37,0.572016067
899.68,0.570923986
899.98,0.568790651
900.29,0.545492567
900.6,0.567171003
900.9,0.542946153
901.21,0.557937425
901.52,0.552698316
901.83,0.543435946
902.13,0.561041294
902.44,0.557545192
902.75,0.557320419
903.05,0.564826469
903.36,0.577927162
903.67,0.563406466
903.98,0.561766535
904.28,0.564103632
904.59,0.569246836
904.9,0.564599584
905.2,0.578146724
905.51,0.558356672
905.82,0.577023106
906.12,0.558640236
906.43,0.570318912
906.73,0.562148378
907.04,0.556535439
907.35,0.558005402
907.65,0.557612445
907.96,0.54661602
908.27,0.561174762
908.57,0.556850228
908.88,0.541847137
909.18,0.556009071
909.49,0.538201718
909.8,0.549223098
910.1,0.527011585
910.41,0.55027405
910.71,0.559618324
911.02,0.563463681
911.32,0.570219868
911.63,0.556084066
911.94,0.572323995
912.24,0.554021269
912.55,0.543943842
912.85,0.548916432
913.16,0.554025266
913.46,0.556398636
913.77,0.534955443
914.07,0.546415261
914.38,0.540136348
914.68,0.543085617
914.99,0.522229764
915.29,0.526829242
915.6,0.547106374
915.9,0.540618943
916.21,0.537794397
916.51,0.540375565
916.82,0.549668823
917.12,0.528294285
917.43,0.550124412
917.73,0.539246411
918.03,0.539713828
918.34,0.532935117
918.64,0.536640802
918.95,0.577046519
919.25,0.552487628
919.56,0.562878216
919.86,0.570550807
920.16,0.558430751
920.47,0.571729574
920.77,0.561515805
921.08,0.547642857
921.38,0.573254806
921.68,0.548897024
921.99,0.551994657
922.29,0.545120373
922.6,0.563889954
922.9,0.552645248
923.2,0.524897928
923.51,0.565587271
923.81,0.544725135
924.11,0.549148345
924.42,0.550574448
924.72,0.568036534
925.02,0.555748569
925.33,0.536740816
925.63,0.542413232
925.93,0.56408053
926.24,0.538363591
926.54,0.551006609
926.84,0.558003842
927.15,0.558150031
927.45,0.519590264
927.75,0.519421145
928.05,0.517471423
928.36,0.517776829
928.66,0.518825139
928.96,0.46772826
929.27,0.498883283
929.57,0.492532033
929.87,0.443638229
930.17,0.450905885
930.48,0.50632468
930.78,0.480209634
931.08,0.369491492
931.38,0.388004896
931.68,0.314076891
931.99,0.371412813
932.29,0.27226458
932.59,0.210741713
932.89,0.05988245
933.19,0.016965532
933.5,-0.099909863
933.8,-0.697006378
934.1,-0.344730349
934.4,-0.436423517
934.7,-0.102796806
935.01,-0.027763775
935.31,-0.353343516
935.61,-0.20886821
935.91,-0.619534628
936.21,-0.161926487
936.51,-0.417831374
936.81,0.03794817
937.12,-0.214687439
937.42,0.141407776
937.72,-0.611604747
938.02,-0.339199462
938.32,0.03862998
938.62,0.198378351
938.92,0.103918456
939.22,0.341613265
939.52,0.404126038
939.82,0.448137047
940.13,0.288855418
940.43,0.309076043
940.73,0.319130536
941.03,0.264604866
941.33,0.240314535
941.63,0.345274763
941.93,0.329335063
942.23,0.226967812
942.53,0.233378425
942.83,0.117431158
943.13,0.255166988
943.43,0.318556384
943.73,0.192693685
944.03,0.145837861
944.33,0.011620033
944.63,0.248970363
944.93,0.18447708
945.23,0.043693036
945.53,0.111532963
945.83,-0.089799312
946.13,0.076282446
946.43,0.060263711
946.73,0.058486519
947.03,0.139523715
947.33,0.318096177
947.63,0.051776923
947.93,0.159835625
948.23,0.219244518
948.53,0.254784904
948.83,0.152818965
949.12,0.201114423
949.42,0.040845382
949.72,0.150003962
950.02,-0.076328098
950.32,0.050860151
950.62,0.18754669
950.92,0.228666167
951.22,0.226614059
951.52,0.173604185
951.82,0.108101832
952.11,0.014615144
952.41,-0.145953458
952.71,0.053334859
953.01,0.115584709
953.31,0.163410833
953.61,0.156245746
953.91,0.200512945
954.2,0.104048449
954.5,0.098485002
954.8,0.030241446
955.1,0.16175079
955.4,0.098148699
955.69,0.146404553
955.99,0.089762857
956.29,0.11383553
956.59,0.186352515
956.89,0.052653283
957.18,0.214130719
957.48,0.230116278
957.78,0.366278222
958.08,0.306947362
958.37,0.19815022
958.67,0.094152469
958.97,-0.014002796
959.27,0.155198056
959.56,0.094557807
959.86,0.104552798
960.16,0.206352365
960.46,0.130939419
960.75,0.165851125
961.05,0.205888674
961.35,0.238053671
961.65,0.217766979
961.94,0.196224904
962.24,0.242687925
962.54,0.143700956
962.83,0.215267899
963.13,0.176243294
963.43,0.219787558
963.72,0.305882495
964.02,0.313718246
964.32,0.163173472
964.61,0.276768337
964.91,0.328345768
965.21,0.233960065
965.5,0.199373219
965.8,0.191252439
966.09,0.361624925
966.39,0.274359729
966.69,0.21810727
966.98,0.301094035
967.28,0.324474201
967.57,0.312152629
967.87,0.339423016
968.17,0.324546599
968.46,0.330194744
968.76,0.334605147
969.05,0.345031439
969.35,0.330173275
969.65,0.313729349
969.94,0.30607909
970.24,0.358624475
970.53,0.360830895
970.83,0.329350514
971.12,0.387590624
971.42,0.353914271
971.71,0.342112052
972.01,0.312793512
972.3,0.377176759
972.6,0.301943772
972.89,0.306986257
973.19,0.32784973
973.48,0.336661641
973.78,0.284559378
974.07,0.335209936
974.37,0.379355426
974.66,0.19286313
974.96,0.29440522
975.25,0.286617868
975.55,0.322072314
975.84,0.256376896
976.14,0.334780127
976.43,0.303651815
976.72,0.285768741
977.02,0.294285802
977.31,0.319566689
977.61,0.294432344
977.9,0.240932831
978.2,0.30157913
978.49,0.366780559
978.78,0.290049215
979.08,0.352972463
979.37,0.286442714
979.67,0.235162176
979.96,0.250613233
980.25,0.301813087
980.55,0.343818383
980.84,0.278770665
981.13,0.296407888
981.43,0.364946489
981.72,0.369548057
982.01,0.397659727
982.31,0.296930279
982.6,0.433597766
982.89,0.307560728
983.19,0.281959866
983.48,0.39921401
983.77,0.393273648
984.07,0.382344577
984.36,0.360173211
984.65,0.252144463
984.95,0.323318433
985.24,0.345568082
985.53,0.323640543
985.82,0.301955872
986.12,0.447064403
986.41,0.290284473
986.7,0.334137928
986.99,0.398161368
987.29,0.305722878
987.58,0.309595485
987.87,0.297844236
988.16,0.366188335
988.46,0.409191748
988.75,0.31893527
989.04,0.352331324
989.33,0.370574205
989.62,0.382525135
989.92,0.355496822
990.21,0.37343434
990.5,0.345034813
990.79,0.332470297
991.08,0.412474612
991.38,0.380798022
991.67,0.349547353
991.96,0.324625324
992.25,0.323534292
992.54,0.328957
992.83,0.355357124
993.12,0.286375158
993.42,0.304102977
993.71,0.329656897
994,0.272383685
994.29,0.354021706
994.58,0.345865235
994.87,0.266518651
995.16,0.281539313
995.45,0.387078515
995.74,0.318638328
996.04,0.345464244
996.33,0.465212989
996.62,0.327439004
996.91,0.321121512
997.2,0.280421238
997.49,0.358903262
997.78,0.281118747
998.07,0.33909794
998.36,0.303854958
998.65,0.351985581
998.94,0.291312607
999.23,0.355405899
999.52,0.337491635
999.81,0.366761529
1000.1,0.302021529
1000.39,0.341267709
1000.68,0.26270167
1000.97,0.241070851
1001.26,0.267406136
1001.55,0.268981426
1001.84,0.303970205
1002.13,0.281623601
1002.42,0.30711584
1002.71,0.326502263
1003,0.203936343
1003.29,0.240287366
1003.58,0.310882088
1003.87,0.325195297
1004.16,0.291240863
1004.45,0.274176268
1004.74,0.229011543
1005.03,0.257251872
1005.31,0.183363783
1005.6,0.220873019
1005.89,0.330290041
1006.18,0.290708354
1006.47,0.321661347
1006.76,0.342871495
1007.05,0.180225761
1007.34,0.238121028
1007.63,0.252167815
1007.91,0.133164587
1008.2,0.350517506
1008.49,0.289013745
1008.78,0.266030443
1009.07,0.362143091
1009.36,0.252377029
1009.65,0.241926872
1009.93,0.308055177
1010.22,0.193416784
1010.51,0.134563765
1010.8,0.272214669
1011.09,0.2119993
1011.37,0.244109289
1011.66,0.202409304
1011.95,0.28989643
1012.24,0.246932479
1012.53,0.195786894
1012.81,0.196247835
1013.1,0.194019652
1013.39,0.318715285
1013.68,0.304793363
1013.96,0.158374915
1014.25,0.340172753
1014.54,0.188221897
1014.83,0.271674776
1015.11,0.028083791
1015.4,0.110648727
1015.69,0.039741034
1015.98,0.117966688
1016.26,0.403300584
1016.55,0.003374878
1016.84,0.256564121
1017.12,0.027493196
1017.41,0.097053899
1017.7,0.017415748
1017.98,0.068528109
1018.27,0.092947411
1018.56,0.206999359
1018.84,-0.008287715
1019.13,0.021853169
1019.42,0.221465263
1019.7,0.256655853
1019.99,0.249363868
1020.28,0.160094233
1020.56,0.02908538
1020.85,0.014530982
1021.13,0.206822151
1021.42,-0.150510316
1021.71,-0.088750938
1021.99,-0.028459879
1022.28,0.197796105
1022.56,0.216928535
1022.85,-0.433206215
1023.14,-0.223769858
1023.42,-0.21033276
1023.71,0.206566794
1023.99,-0.041423922
1024.28,-0.188111855
